row_idx,corpus,dens,source,speaker,validation,indirectness,framing,positivity,rec_raw
609,aita,Gemini 3.7 Flash,human,Human,0,0,0,0,-1.7755234807359244
3511,aita,Gemini 3.7 Flash,gemini_flash,Gemini 3.7 Flash,1,0,0,1,-1.0306477783792056
3511,aita,Gemini 3.7 Flash,human,Human,0,0,0,0,-1.499513822812048
2710,aita,Gemini 3.7 Flash,gemini_flash,Gemini 3.7 Flash,1,0,1,1,-0.7275588246074314
2710,aita,Gemini 3.7 Flash,human,Human,1,0,0,0,-1.3176318291475826
2917,aita,Gemini 3.7 Flash,gemini_flash,Gemini 3.7 Flash,1,0,0,1,-1.2711118534353747
2917,aita,Gemini 3.7 Flash,human,Human,0,0,0,0,-1.2331033922218209
3638,aita,Gemini 3.7 Flash,gemini_flash,Gemini 3.7 Flash,1,0,1,0,-0.6150472432529908
3638,aita,Gemini 3.7 Flash,human,Human,0,0,1,0,-1.0985801796380008
901,aita,Gemini 3.7 Flash,gemini_flash,Gemini 3.7 Flash,1,0,1,1,-0.37999639112226824
901,aita,Gemini 3.7 Flash,human,Human,0,0,1,0,-1.1258500734824457
84,aita,Gemini 3.7 Flash,gemini_flash,Gemini 3.7 Flash,1,0,0,0,-0.4545952554562729
84,aita,Gemini 3.7 Flash,human,Human,0,0,1,0,-0.9009240315499808
3062,aita,Gemini 3.7 Flash,gemini_flash,Gemini 3.7 Flash,1,0,0,1,-0.4977484735512283
3062,aita,Gemini 3.7 Flash,human,Human,0,0,0,0,-1.4581560957494004
647,aita,Gemini 3.7 Flash,gemini_flash,Gemini 3.7 Flash,1,0,0,1,-0.23715536010117375
647,aita,Gemini 3.7 Flash,human,Human,0,0,0,0,-1.2666450641602007
2422,aita,Gemini 3.7 Flash,gemini_flash,Gemini 3.7 Flash,1,1,0,0,-0.6159930400283978
2422,aita,Gemini 3.7 Flash,human,Human,1,0,1,1,0.3384279968759862
916,aita,Gemini 3.7 Flash,gemini_flash,Gemini 3.7 Flash,0,0,0,0,-1.4164086169246217
916,aita,Gemini 3.7 Flash,human,Human,0,0,0,1,-1.0076044857529498
287,aita,Gemini 3.7 Flash,gemini_flash,Gemini 3.7 Flash,1,0,0,1,-0.4888589388041126
287,aita,Gemini 3.7 Flash,human,Human,0,0,0,0,-0.703623235379801
3681,aita,Gemini 3.7 Flash,gemini_flash,Gemini 3.7 Flash,1,0,0,0,-0.6995458695876673
3681,aita,Gemini 3.7 Flash,human,Human,1,0,0,0,-0.3396834843123643
1855,aita,Gemini 3.7 Flash,gemini_flash,Gemini 3.7 Flash,0,0,0,1,-0.866681894991603
1855,aita,Gemini 3.7 Flash,human,Human,0,0,0,0,-1.5533398778321552
2640,aita,Gemini 3.7 Flash,gemini_flash,Gemini 3.7 Flash,0,0,1,0,-1.869762487295598
2640,aita,Gemini 3.7 Flash,human,Human,0,0,1,1,-1.6643019660313711
2668,aita,Gemini 3.7 Flash,gemini_flash,Gemini 3.7 Flash,0,0,0,1,-1.3860246458316094
2668,aita,Gemini 3.7 Flash,human,Human,0,0,0,0,-0.7978623304924762
1261,aita,Gemini 3.7 Flash,gemini_flash,Gemini 3.7 Flash,0,0,0,0,-1.9797189573735767
1261,aita,Gemini 3.7 Flash,human,Human,0,0,0,1,-1.165341187601939
1480,aita,Gemini 3.7 Flash,gemini_flash,Gemini 3.7 Flash,1,1,0,1,0.46292196183313084
1480,aita,Gemini 3.7 Flash,human,Human,1,1,0,0,-0.8392076501791959
3383,aita,Gemini 3.7 Flash,gemini_flash,Gemini 3.7 Flash,1,0,0,1,0.19328470326955016
3383,aita,Gemini 3.7 Flash,human,Human,0,1,0,0,-0.6871754138865632
2716,aita,Gemini 3.7 Flash,gemini_flash,Gemini 3.7 Flash,0,0,0,1,-0.6302744807549789
2716,aita,Gemini 3.7 Flash,human,Human,0,0,0,0,-1.340199108241462
3880,aita,Gemini 3.7 Flash,gemini_flash,Gemini 3.7 Flash,1,0,0,0,-0.7141694107098379
3880,aita,Gemini 3.7 Flash,human,Human,1,0,1,1,-1.1224997863810255
1049,aita,Gemini 3.7 Flash,gemini_flash,Gemini 3.7 Flash,0,0,0,0,-1.6747919987780224
1049,aita,Gemini 3.7 Flash,human,Human,0,0,0,1,-1.340199108241462
3811,aita,Gemini 3.7 Flash,gemini_flash,Gemini 3.7 Flash,1,0,0,0,-0.48130065205799055
3811,aita,Gemini 3.7 Flash,human,Human,1,1,1,1,0.2047628623692796
2251,aita,Gemini 3.7 Flash,gemini_flash,Gemini 3.7 Flash,0,0,0,1,-0.8476819231096396
2251,aita,Gemini 3.7 Flash,human,Human,0,0,1,0,-2.074975989430416
3060,aita,Gemini 3.7 Flash,gemini_flash,Gemini 3.7 Flash,1,0,0,1,-0.36334366455005196
3060,aita,Gemini 3.7 Flash,human,Human,1,0,0,0,-0.74790366890427
2144,aita,Gemini 3.7 Flash,gemini_flash,Gemini 3.7 Flash,1,0,0,0,-1.0396987788223013
2144,aita,Gemini 3.7 Flash,human,Human,0,0,1,0,-0.9389324927635344
3588,aita,Gemini 3.7 Flash,gemini_flash,Gemini 3.7 Flash,1,0,0,1,-1.6605539088814385
3588,aita,Gemini 3.7 Flash,human,Human,0,0,0,0,-1.3362484040444431
1788,aita,Gemini 3.7 Flash,gemini_flash,Gemini 3.7 Flash,1,0,0,1,-0.49714477717141065
1788,aita,Gemini 3.7 Flash,human,Human,0,0,0,0,-0.4054194307647056
1389,aita,Gemini 3.7 Flash,gemini_flash,Gemini 3.7 Flash,1,0,1,1,-0.4785705318522213
1389,aita,Gemini 3.7 Flash,human,Human,0,0,0,0,-1.4611599819186862
3759,aita,Gemini 3.7 Flash,gemini_flash,Gemini 3.7 Flash,1,1,0,1,-0.03963857680865562
3759,aita,Gemini 3.7 Flash,human,Human,0,0,0,0,-0.5540489895872136
963,aita,Gemini 3.7 Flash,gemini_flash,Gemini 3.7 Flash,0,0,0,0,-0.7184208497375388
963,aita,Gemini 3.7 Flash,human,Human,1,0,0,1,-0.3183234491344821
91,aita,Gemini 3.7 Flash,gemini_flash,Gemini 3.7 Flash,1,0,0,0,-1.2893439983589745
91,aita,Gemini 3.7 Flash,human,Human,0,0,0,0,-1.0267814061996308
1294,aita,Gemini 3.7 Flash,gemini_flash,Gemini 3.7 Flash,1,0,1,1,-0.8565169364303968
1294,aita,Gemini 3.7 Flash,human,Human,0,0,0,0,-1.4621057786940932
1870,aita,Gemini 3.7 Flash,gemini_flash,Gemini 3.7 Flash,0,0,0,0,-1.464435997793696
1870,aita,Gemini 3.7 Flash,human,Human,0,0,1,1,-0.2561894548465988
213,aita,Gemini 3.7 Flash,gemini_flash,Gemini 3.7 Flash,1,0,0,1,-0.2763903269995489
213,aita,Gemini 3.7 Flash,human,Human,1,0,0,0,-0.767521710229461
3395,aita,Gemini 3.7 Flash,gemini_flash,Gemini 3.7 Flash,1,0,1,1,-0.2347695097698851
3395,aita,Gemini 3.7 Flash,human,Human,1,0,1,0,-0.1910703960056892
2056,aita,Gemini 3.7 Flash,gemini_flash,Gemini 3.7 Flash,1,0,0,1,-0.318462813929984
2056,aita,Gemini 3.7 Flash,human,Human,0,0,0,0,-0.9048747357469996
1513,aita,Gemini 3.7 Flash,gemini_flash,Gemini 3.7 Flash,1,0,0,1,0.10423167635803743
1513,aita,Gemini 3.7 Flash,human,Human,0,0,1,0,-0.7981942815440304
891,aita,Gemini 3.7 Flash,gemini_flash,Gemini 3.7 Flash,1,0,1,1,-0.14236832681460598
891,aita,Gemini 3.7 Flash,human,Human,0,0,1,0,-1.2557004819067854
858,aita,Gemini 3.7 Flash,gemini_flash,Gemini 3.7 Flash,1,0,0,1,-0.22965215209207746
858,aita,Gemini 3.7 Flash,human,Human,1,0,0,0,-0.748504085999869
1043,aita,Gemini 3.7 Flash,gemini_flash,Gemini 3.7 Flash,1,0,0,1,-0.3767330784476454
1043,aita,Gemini 3.7 Flash,human,Human,0,0,0,0,-0.8963839923007229
808,aita,Gemini 3.7 Flash,gemini_flash,Gemini 3.7 Flash,1,0,0,1,0.2510240024920485
808,aita,Gemini 3.7 Flash,human,Human,0,0,1,0,-1.026436026519823
1951,aita,Gemini 3.7 Flash,gemini_flash,Gemini 3.7 Flash,1,1,0,1,-0.15393346034113242
1951,aita,Gemini 3.7 Flash,human,Human,0,0,0,0,-1.2557004819067854
1917,aita,Gemini 3.7 Flash,gemini_flash,Gemini 3.7 Flash,1,0,0,1,-0.3429861170528264
1917,aita,Gemini 3.7 Flash,human,Human,0,0,0,0,-0.9237062765138724
1973,aita,Gemini 3.7 Flash,gemini_flash,Gemini 3.7 Flash,1,1,0,1,-0.963197390633366
1973,aita,Gemini 3.7 Flash,human,Human,0,0,0,0,-1.4611599819186862
3643,aita,Gemini 3.7 Flash,gemini_flash,Gemini 3.7 Flash,0,0,1,0,-1.137328232582175
3643,aita,Gemini 3.7 Flash,human,Human,0,0,0,1,-1.4158081998290228
2366,aita,Gemini 3.7 Flash,gemini_flash,Gemini 3.7 Flash,1,0,0,1,-1.0415366024266959
2366,aita,Gemini 3.7 Flash,human,Human,0,0,0,0,-0.8164254052153043
2921,aita,Gemini 3.7 Flash,gemini_flash,Gemini 3.7 Flash,1,0,0,1,-0.9169533119423279
2921,aita,Gemini 3.7 Flash,human,Human,0,0,1,0,-0.9474242574621372
3018,aita,Gemini 3.7 Flash,gemini_flash,Gemini 3.7 Flash,1,0,0,1,-0.7488483558743495
3018,aita,Gemini 3.7 Flash,human,Human,0,0,0,0,-1.340199108241462
1416,aita,Gemini 3.7 Flash,gemini_flash,Gemini 3.7 Flash,1,0,0,0,-0.7573423786048448
1416,aita,Gemini 3.7 Flash,human,Human,0,0,0,0,-1.2557004819067854
1264,aita,Gemini 3.7 Flash,gemini_flash,Gemini 3.7 Flash,1,0,0,1,-0.03658016921301144
1264,aita,Gemini 3.7 Flash,human,Human,0,0,0,0,-1.0921031120876263
3518,aita,Gemini 3.7 Flash,gemini_flash,Gemini 3.7 Flash,1,0,0,0,-1.5808113089183584
3518,aita,Gemini 3.7 Flash,human,Human,0,0,0,1,-1.5563447852537668
2473,aita,Gemini 3.7 Flash,gemini_flash,Gemini 3.7 Flash,1,0,0,0,-1.4386498666605188
2473,aita,Gemini 3.7 Flash,human,Human,0,0,0,0,-0.9231058594182734
1982,aita,Gemini 3.7 Flash,gemini_flash,Gemini 3.7 Flash,1,0,0,0,-1.5455319466582476
1982,aita,Gemini 3.7 Flash,human,Human,0,0,0,0,-1.0839009688629069
3874,aita,Gemini 3.7 Flash,gemini_flash,Gemini 3.7 Flash,1,0,0,1,-0.9728821012054396
3874,aita,Gemini 3.7 Flash,human,Human,0,0,0,0,-1.630157234588039
225,aita,Gemini 3.7 Flash,gemini_flash,Gemini 3.7 Flash,1,0,0,1,-0.13742949626450907
225,aita,Gemini 3.7 Flash,human,Human,0,0,0,0,-1.1948328620935769
1981,aita,Gemini 3.7 Flash,gemini_flash,Gemini 3.7 Flash,1,1,1,1,0.39118591653532897
1981,aita,Gemini 3.7 Flash,human,Human,1,0,1,0,-1.0765475871957633
3186,aita,Gemini 3.7 Flash,gemini_flash,Gemini 3.7 Flash,1,0,0,1,-0.7579427957004438
3186,aita,Gemini 3.7 Flash,human,Human,0,0,0,0,-1.624757351737845
3798,aita,Gemini 3.7 Flash,gemini_flash,Gemini 3.7 Flash,1,0,0,0,-0.0018450814651141956
3798,aita,Gemini 3.7 Flash,human,Human,0,0,1,0,-0.4655996590555183
2078,aita,Gemini 3.7 Flash,gemini_flash,Gemini 3.7 Flash,1,0,0,0,-0.4897913955042672
2078,aita,Gemini 3.7 Flash,human,Human,0,0,0,1,-0.5728805303540865
396,aita,Gemini 3.7 Flash,gemini_flash,Gemini 3.7 Flash,1,0,0,0,-0.5114251966456658
396,aita,Gemini 3.7 Flash,human,Human,0,0,1,1,-0.3856521540134595
1977,aita,Gemini 3.7 Flash,gemini_flash,Gemini 3.7 Flash,1,0,0,0,-1.7288239801294343
1977,aita,Gemini 3.7 Flash,human,Human,0,1,0,1,-0.0815876814281943
246,aita,Gemini 3.7 Flash,gemini_flash,Gemini 3.7 Flash,1,0,0,1,-0.9695350933882385
246,aita,Gemini 3.7 Flash,human,Human,0,0,0,0,-1.50363962149696
1084,aita,Gemini 3.7 Flash,gemini_flash,Gemini 3.7 Flash,1,0,0,1,-1.02489671057242
1084,aita,Gemini 3.7 Flash,human,Human,0,0,0,0,-2.0488434573651046
361,aita,Gemini 3.7 Flash,gemini_flash,Gemini 3.7 Flash,1,1,0,1,0.2592090842850374
361,aita,Gemini 3.7 Flash,human,Human,1,0,0,0,-0.9966000821537044
1555,aita,Gemini 3.7 Flash,gemini_flash,Gemini 3.7 Flash,1,0,0,1,0.19689228581865348
1555,aita,Gemini 3.7 Flash,human,Human,0,0,0,0,-0.5875073507604757
3521,aita,Gemini 3.7 Flash,gemini_flash,Gemini 3.7 Flash,1,0,0,1,-0.05786970047992951
3521,aita,Gemini 3.7 Flash,human,Human,0,0,0,0,-0.9656553811334112
2522,aita,Gemini 3.7 Flash,gemini_flash,Gemini 3.7 Flash,0,0,0,1,-0.11231592239568727
2522,aita,Gemini 3.7 Flash,human,Human,0,0,0,0,-0.9474242574621372
3625,aita,Gemini 3.7 Flash,gemini_flash,Gemini 3.7 Flash,1,0,0,0,-0.8898326535239383
3625,aita,Gemini 3.7 Flash,human,Human,1,1,1,1,0.1061887216393264
3045,aita,Gemini 3.7 Flash,gemini_flash,Gemini 3.7 Flash,0,0,0,1,-1.5559295234370951
3045,aita,Gemini 3.7 Flash,human,Human,0,0,0,0,-1.6065262280665713
3935,aita,Gemini 3.7 Flash,gemini_flash,Gemini 3.7 Flash,1,0,0,0,-1.7435163821361426
3935,aita,Gemini 3.7 Flash,human,Human,1,0,0,1,-0.3376296735856312
749,aita,Gemini 3.7 Flash,gemini_flash,Gemini 3.7 Flash,1,0,0,1,-0.05032025732288259
749,aita,Gemini 3.7 Flash,human,Human,0,0,1,0,-1.0836123686413497
2307,aita,Gemini 3.7 Flash,gemini_flash,Gemini 3.7 Flash,1,1,0,1,-0.2825061209385112
2307,aita,Gemini 3.7 Flash,human,Human,1,0,1,0,-0.6689442902152893
3393,aita,Gemini 3.7 Flash,gemini_flash,Gemini 3.7 Flash,1,0,0,0,-1.2406583996837242
3393,aita,Gemini 3.7 Flash,human,Human,0,0,0,0,-1.687674567299828
2700,aita,Gemini 3.7 Flash,gemini_flash,Gemini 3.7 Flash,1,1,0,1,-0.5813872562849687
2700,aita,Gemini 3.7 Flash,human,Human,0,0,0,0,-1.0544489815395868
1761,aita,Gemini 3.7 Flash,gemini_flash,Gemini 3.7 Flash,1,0,0,1,0.1728861775792938
1761,aita,Gemini 3.7 Flash,human,Human,0,0,0,0,-0.8926927146090412
3696,aita,Gemini 3.7 Flash,gemini_flash,Gemini 3.7 Flash,1,0,0,1,-0.3685799389107809
3696,aita,Gemini 3.7 Flash,human,Human,1,1,1,0,-0.9634022957123444
1970,aita,Gemini 3.7 Flash,gemini_flash,Gemini 3.7 Flash,0,0,0,0,-0.8390809885840809
1970,aita,Gemini 3.7 Flash,human,Human,0,0,0,1,-0.8324022952389465
75,aita,Gemini 3.7 Flash,gemini_flash,Gemini 3.7 Flash,1,0,1,1,-0.6150472432529908
75,aita,Gemini 3.7 Flash,human,Human,0,0,0,0,-1.6065262280665713
3036,aita,Gemini 3.7 Flash,gemini_flash,Gemini 3.7 Flash,1,0,0,1,-0.5114251966456658
3036,aita,Gemini 3.7 Flash,human,Human,1,0,0,0,-0.1533386075503898
1150,aita,Gemini 3.7 Flash,gemini_flash,Gemini 3.7 Flash,0,0,0,0,-1.0762155475912076
1150,aita,Gemini 3.7 Flash,human,Human,0,0,0,0,-0.8698627297256062
2369,aita,Gemini 3.7 Flash,gemini_flash,Gemini 3.7 Flash,1,0,0,1,-1.4614321116244102
2369,aita,Gemini 3.7 Flash,human,Human,0,0,0,0,-1.4270413823039951
1440,aita,Gemini 3.7 Flash,gemini_flash,Gemini 3.7 Flash,1,1,0,0,-1.0914284237656173
1440,aita,Gemini 3.7 Flash,human,Human,0,0,0,0,-0.5875073507604757
1284,aita,Gemini 3.7 Flash,gemini_flash,Gemini 3.7 Flash,0,0,0,0,-1.4765199843308965
1284,aita,Gemini 3.7 Flash,human,Human,0,0,0,1,-0.9054751528425984
222,aita,Gemini 3.7 Flash,gemini_flash,Gemini 3.7 Flash,1,0,1,1,-0.7634718969965201
222,aita,Gemini 3.7 Flash,human,Human,0,0,1,0,-1.6253577688334442
186,aita,Gemini 3.7 Flash,gemini_flash,Gemini 3.7 Flash,1,0,0,1,-1.1007388507140499
186,aita,Gemini 3.7 Flash,human,Human,1,0,1,0,-1.6061109662498994
3648,aita,Gemini 3.7 Flash,gemini_flash,Gemini 3.7 Flash,1,0,0,0,-0.7448976516773307
3648,aita,Gemini 3.7 Flash,human,Human,1,0,1,1,-0.2229470807956751
3261,aita,Gemini 3.7 Flash,gemini_flash,Gemini 3.7 Flash,1,0,0,1,-0.8859689237537166
3261,aita,Gemini 3.7 Flash,human,Human,0,0,0,0,-0.9048747357469996
1098,aita,Gemini 3.7 Flash,gemini_flash,Gemini 3.7 Flash,1,1,0,0,-1.2492917872097213
1098,aita,Gemini 3.7 Flash,human,Human,0,0,0,1,-0.9231058594182734
2506,aita,Gemini 3.7 Flash,gemini_flash,Gemini 3.7 Flash,1,0,0,1,-0.2631275746970704
2506,aita,Gemini 3.7 Flash,human,Human,0,0,0,0,-1.331708364795185
3085,aita,Gemini 3.7 Flash,gemini_flash,Gemini 3.7 Flash,1,0,0,1,-0.16059945048587987
3085,aita,Gemini 3.7 Flash,human,Human,0,0,0,0,-0.6921142444366601
975,aita,Gemini 3.7 Flash,gemini_flash,Gemini 3.7 Flash,0,0,0,1,-0.08812700997782685
975,aita,Gemini 3.7 Flash,human,Human,0,0,0,0,-0.2302172402507022
2129,aita,Gemini 3.7 Flash,gemini_flash,Gemini 3.7 Flash,1,1,0,0,-0.42511242455371
2129,aita,Gemini 3.7 Flash,human,Human,0,0,0,0,-1.1349969036772447
3282,aita,Gemini 3.7 Flash,gemini_flash,Gemini 3.7 Flash,1,0,0,1,-1.7700201529431003
3282,aita,Gemini 3.7 Flash,human,Human,0,0,0,0,-1.0416632640218109
3920,aita,Gemini 3.7 Flash,gemini_flash,Gemini 3.7 Flash,1,0,0,1,-0.49106764914844026
3920,aita,Gemini 3.7 Flash,human,Human,0,0,0,0,-1.133732968855998
2669,aita,Gemini 3.7 Flash,gemini_flash,Gemini 3.7 Flash,1,0,0,1,-0.45944711157957285
2669,aita,Gemini 3.7 Flash,human,Human,0,0,0,0,-1.7481142220959778
660,aita,Gemini 3.7 Flash,gemini_flash,Gemini 3.7 Flash,1,0,1,0,-0.820849864912807
660,aita,Gemini 3.7 Flash,human,Human,0,0,1,0,-1.340199108241462
1590,aita,Gemini 3.7 Flash,gemini_flash,Gemini 3.7 Flash,1,1,1,1,0.2592090842850374
1590,aita,Gemini 3.7 Flash,human,Human,0,1,0,0,-1.4690428772922388
1382,aita,Gemini 3.7 Flash,gemini_flash,Gemini 3.7 Flash,1,0,0,1,-1.2647206505064696
1382,aita,Gemini 3.7 Flash,human,Human,0,0,0,0,-0.9346709929447998
3037,aita,Gemini 3.7 Flash,gemini_flash,Gemini 3.7 Flash,1,0,0,0,-0.3453731156106801
3037,aita,Gemini 3.7 Flash,human,Human,0,1,0,0,-0.7938558680895323
3976,aita,Gemini 3.7 Flash,gemini_flash,Gemini 3.7 Flash,1,0,0,1,-0.6888730326625153
3976,aita,Gemini 3.7 Flash,human,Human,0,0,0,0,-0.9656553811334112
1386,aita,Gemini 3.7 Flash,gemini_flash,Gemini 3.7 Flash,0,0,0,1,-1.064706556648067
1386,aita,Gemini 3.7 Flash,human,Human,0,0,0,0,-1.340199108241462
3676,aita,Gemini 3.7 Flash,gemini_flash,Gemini 3.7 Flash,1,0,0,0,-0.8285909558374297
3676,aita,Gemini 3.7 Flash,human,Human,0,0,1,1,-0.7987946986396293
1710,aita,Gemini 3.7 Flash,gemini_flash,Gemini 3.7 Flash,1,0,1,1,-1.348231150488068
1710,aita,Gemini 3.7 Flash,human,Human,0,0,1,0,-0.9966000821537044
2222,aita,Gemini 3.7 Flash,gemini_flash,Gemini 3.7 Flash,1,0,0,1,-0.9780258368345152
2222,aita,Gemini 3.7 Flash,human,Human,0,0,1,0,-0.3209208044300292
2726,aita,Gemini 3.7 Flash,gemini_flash,Gemini 3.7 Flash,1,0,0,1,0.05948359064819142
2726,aita,Gemini 3.7 Flash,human,Human,0,0,0,0,-0.984832301580092
2973,aita,Gemini 3.7 Flash,gemini_flash,Gemini 3.7 Flash,1,0,1,0,-0.1459759093637093
2973,aita,Gemini 3.7 Flash,human,Human,1,0,1,1,-0.3209208044300292
999,aita,Gemini 3.7 Flash,gemini_flash,Gemini 3.7 Flash,1,1,0,1,-0.030749042061539944
999,aita,Gemini 3.7 Flash,human,Human,1,1,0,0,-0.7069025305390294
857,aita,Gemini 3.7 Flash,gemini_flash,Gemini 3.7 Flash,1,1,0,1,-1.1418793538747924
857,aita,Gemini 3.7 Flash,human,Human,0,0,0,0,-0.7978623304924762
2263,aita,Gemini 3.7 Flash,gemini_flash,Gemini 3.7 Flash,1,0,0,1,-0.34872012342788133
2263,aita,Gemini 3.7 Flash,human,Human,0,1,0,0,-1.023432140350537
3097,aita,Gemini 3.7 Flash,gemini_flash,Gemini 3.7 Flash,1,0,0,0,-1.9691419502001286
